,budget,company,country,director,genre,gross,name,rating,released,star,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,adult,id,imdb_id,original_title,overview,tagline,title,genres_edited,spoken_languages_edited,production_countries_edited,keywords_edited,year_released,budget_norm
200,16000000,Other,USA,Other,Adventure,67878,Brenda Starr,PG,15.04.1992 00:00,Brooke Shields,Noreen Stone,1989,0,-0.995757625,-100,FALSE,47070,tt0096978,Brenda Starr,"Mike is a struggling artist who draws the 'Brenda Starr' strip for the papers. When Brenda comes to life in the strip and sees how unappreciated she is by Mike, she leaves the strip. To get her back, and keep his job, Mike draws himself into the strip. In her world, Brenda Starr is the Ace Reporter for the New York Flash. She is talented, fearless, smart and a very snappy dresser. The only competition she has is from the rival paper's top reporter Libby Lipscomb. Brenda heads to the Amazon jungle to find a scientist with a secret formula which will create cheap and powerful gas from ordinary water. (This movie was filmed in 1986 but release was delayed for several years.)",Off the comics onto the big screen...,Brenda Starr,"Adventure, Fantasy",en,US,"central and south america, comic-strip artist, based on comic, reporter",1992,-0.6306180348779747
201,17000000,Columbia Pictures Corporation,USA,Other,Crime,3560932,Physical Evidence,R,27.01.1989 00:00,Burt Reynolds,Steve Ransohoff,1989,0,-0.790533412,-80,FALSE,41938,tt0098093,Physical Evidence,A police officer suspended and now accused of murder is forced to join forces with his court-appointed attorney to assemble the pieces of a deadly puzzle to find the missing link before time runs out.,"If he's innocent, the truth could save him. If he's guilty, the lies could kill her.",Physical Evidence,"Crime, Thriller",en,US,"officer, suspect, police, puzzle, murder, romance, lawyer",1989,-0.5887515790485611
202,26000000,Columbia Pictures Corporation,USA,Other,Drama,61490000,Flatliners,R,10.08.1990 00:00,Kiefer Sutherland,Peter Filardi,1990,1,1.365,140,FALSE,1551,tt0099582,Flatliners,"Five medical students want to find out if there is life after death. They plan to stop one of their hearts for a few seconds, thus simulating death, and then bring the person back to life. A science fiction thriller from the early 1990's with a star studded cast.",Some lines shouldn't be crossed.,Flatliners,"Drama, Horror, Science Fiction, Thriller","en, fr, es",US,"life and death, afterlife, swing, memory, medical student, confetti",1990,-0.2119534765838387
203,20000000,Castle Rock Entertainment,USA,Rob Reiner,Crime,61276872,Misery,R,30.11.1990 00:00,James Caan,Stephen King,1990,1,2.0638436,210,FALSE,1700,tt0100157,Misery,"Novelist Paul Sheldon crashes his car on a snowy Colorado road. He is found by Annie Wilkes, the ""number one fan"" of Paul's heroine Misery Chastaine. Annie is also somewhat unstable, and Paul finds himself crippled, drugged and at her mercy.","Paul Sheldon used to write for a living. Now, he's writing to stay alive.",Misery,"Drama, Thriller",en,US,"nurse, psychopath, car crash, author, obsessed fan, blizzard, broken leg",1990,-0.46315221156032027
204,20000000,Twentieth Century Fox Film Corporation,USA,Tim Burton,Drama,56362352,Edward Scissorhands,PG-13,14.12.1990 00:00,Johnny Depp,Tim Burton,1990,1,1.8181176,180,FALSE,162,tt0099487,Edward Scissorhands,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,His scars run deep.,Edward Scissorhands,"Fantasy, Drama, Romance",en,US,"underdog, love at first sight, hairdresser, small town, scissors, inventor, burglar, unsociability",1990,-0.46315221156032027
205,54000000,Paramount Pictures,USA,Other,Crime,66666062,The Godfather: Part III,R,25.12.1990 00:00,Al Pacino,Mario Puzo,1990,1,0.234556704,20,FALSE,242,tt0099674,The Godfather: Part III,"In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.",All the power on earth can't change destiny.,The Godfather: Part III,"Crime, Drama, Thriller","en, it, de, la","IT, US","italy, christianity, new york, assassination, italo-american, vatican, pope, confession, helicopter, daughter, lawyer",1990,0.9603072866397421
206,30000000,Paramount Pictures,USA,Other,Action,122012643,The Hunt for Red October,PG,2.03.1990 00:00,Sean Connery,Tom Clancy,1990,1,3.0670881,310,FALSE,1669,tt0099810,The Hunt for Red October,"A new Soviet nuclear missile sub (a Boomer) heading out on her maiden voyage that is being tracked by a Los Angeles class American submarine suddenly goes silent and ""disappears"". This focuses the attention of both U.S. Intelligence and the U.S. Navy on the Russian Sub Commander .  When it is determined that the silent Soviet Boomer may be headed for American coastal waters panic ensues. A CIA analyst, Jack Ryan,  convinces the brass that the Boomer's commander may intend something other than a nuclear first strike in mind. A perilous and tense cat-and-mouse game ensues.",Invisible. Silent. Stolen.,The Hunt for Red October,"Action, Adventure, Thriller","en, ru",US,"submarine, cold war, russian, defection, jack ryan",1990,-0.04448765326618429
207,13000000,Universal Pictures,USA,Other,Horror,28501605,Child's Play 2,R,9.11.1990 00:00,Alex Vincent,Don Mancini,1990,1,1.192431154,120,FALSE,11186,tt0099253,Child's Play 2,"Chuckie's back as the doll possessed by the soul of a serial killer, butchering all who stand in his way of possessing the body of a boy.",Look out Jack! Chucky's back!,Child's Play 2,"Drama, Horror","en, tr",US,"faithlessness, puppet, killer toys, toy comes to life",1990,-0.7562174023662155
208,11000000,Universal Pictures,USA,Other,Comedy,16667084,Tremors,PG-13,19.01.1990 00:00,Kevin Bacon,S.S. Wilson,1990,1,0.515189455,50,FALSE,9362,tt0100814,Tremors,"Hick handymen Val McKee and Earl Bassett can barely eke out a living in the Nevada hamlet of Perfection, so they decide to leave town -- despite an admonition from a shapely seismology coed who's picking up odd readings on her equipment. Before long, Val and Earl discover what's responsible for those readings: 30-foot-long carnivorous worms with a proclivity for sucking their prey underground.",The monster movie that breaks new ground.,Tremors,"Action, Horror",en,US,"nevada, small town, tractor, stranded, cult favorite, rural setting, tentacle, graboids, seismologist, binoculars, man eaten by monster, giant worm",1990,-0.8399503140250427
209,25000000,Warner Bros.,USA,Other,Comedy,39404261,Joe Versus the Volcano,PG,9.03.1990 00:00,Tom Hanks,John Patrick Shanley,1990,1,0.57617044,60,FALSE,2565,tt0099892,Joe Versus the Volcano,"Hypochondriac Joe Banks finds out he has six months to live, quits his dead end job, musters the courage to ask his female co-worker out on a date, and is then hired to jump into a volcano by a mysterious visitor.",An average Joe. An adventurous comedy.,Joe Versus the Volcano,"Fantasy, Comedy, Science Fiction, Romance",en,US,"escape, orange soda, luggage, dying man's last fling, ukulele, terminal illnessdying man",1990,-0.2538199324132523
210,9500000,Other,USA,Other,Comedy,14560247,Wild at Heart,R,17.08.1990 00:00,Nicolas Cage,Barry Gifford,1990,1,0.532657579,50,FALSE,483,tt0100935,Wild at Heart,Young lovers Sailor and Lula run from the variety of weirdos that Lula's mom has hired to kill Sailor.,A wild crazy love story.,Wild at Heart,"Comedy, Crime, Thriller",en,US,"prison, sex, witch, hotel room, texas, loss of father, car journey, new orleans, hitman, snake skin jacket, fairy, murder, car crash, escape, mother daughter relationship, pistol, violence, killer, bank robbery, car, hoodlum",1990,-0.9027499977691631
211,25000000,Other,USA,Other,Drama,26118851,Jacob's Ladder,R,2.11.1990 00:00,Tim Robbins,Bruce Joel Rubin,1990,1,0.04475404,0,FALSE,2291,tt0099871,Jacob's Ladder,A traumatized Vietnam war veteran finds out that his post-war life isn't what he believes it to be when he's attacked by horned creatures in the subway and his dead son comes to visit him...,The most frightening thing about Jacob Singer's nightmare is that he isn't dreaming.,Jacob's Ladder,"Drama, Mystery, Horror",en,US,"violence, postal worker, figment of imagination, oneiric",1990,-0.2538199324132523
212,31000000,Hollywood Pictures,USA,Other,Comedy,53208180,Arachnophobia,PG-13,18.07.1990 00:00,Jeff Daniels,Don Jakoby,1990,1,0.716392903,70,FALSE,6488,tt0099052,Arachnophobia,"A large spider from the jungles of South America is accidentally transported in a crate with a dead body to America where it mates with a local spider. Soon after, the residents of a small California town disappear as the result of spider bites from the deadly spider offspring. It's up to a couple of doctors with the help of an insect exterminator to annihilate these eight legged freaks.","Eight legs, two fangs, and an attitude.",Arachnophobia,"Comedy, Horror","en, es",US,"small town, outbreak, exterminator, spider bite, creature feature, spider queen, animal attack, spiders, invasive species, arachnophobia, animal horror, spider general",1990,-0.0026211974367706943
213,70000000,Twentieth Century Fox Film Corporation,USA,Renny Harlin,Action,117540947,Die Hard 2,R,4.07.1990 00:00,Bruce Willis,Walter Wager,1990,1,0.679156386,70,FALSE,1573,tt0099423,Die Hard 2,"John McClane is an off-duty cop gripped with a feeling of déjà vu when on a snowy Christmas Eve in the nation's capital, terrorists seize a major international airport, holding thousands of holiday travelers hostage. Renegade military commandos led by a murderous rogue officer plot to rescue a drug lord from justice and are prepared for every contingency except one: McClane's smart-mouthed heroics.",Die Harder,Die Hard 2,"Action, Thriller","en, es",US,"ambush, helicopter, journalist, based on novel, airport, hand grenade, fistfight, cop, sequel, snow, dulles international airport, shootout, officer involved shooting, terrorism, explosion, church, violence, sabotage, walkie talkie, swat team, air traffic control, commando unit, snowmobile",1990,1.6301705799103596
214,47000000,Touchstone Pictures,USA,Other,Action,103738726,Dick Tracy,PG,15.06.1990 00:00,Warren Beatty,Chester Gould,1990,1,1.207206936,120,FALSE,8592,tt0099422,Dick Tracy,"The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob,",Their turf. Their game. Their rules. They didn't count on HIS law...,Dick Tracy,"Adventure, Action, Comedy, Thriller, Crime",en,US,"corruption, crime fighter, gangster boss, investigation, based on comic, policeman",1990,0.6672420958338469
215,60000000,Other,USA,Other,Action,82670733,Days of Thunder,PG-13,27.06.1990 00:00,Tom Cruise,Robert Towne,1990,1,0.37784555,40,FALSE,2119,tt0099371,Days of Thunder,"Talented but unproven stock car driver Cole Trickle gets a break and with the guidance of veteran Harry Hogge turns heads on the track. The young hotshot develops a rivalry with a fellow racer that threatens his career when the two smash their cars. But with the help of his doctor, Cole just might overcome his injuries-- and his fear.",You can't stop the thunder.,Days of Thunder,Adventure,en,US,"stock-car-race, daytona, car crash",1990,1.2115060216162237
216,11000000,Universal Pictures,USA,Other,Comedy,8266343,Cry-Baby,PG-13,6.04.1990 00:00,Johnny Depp,John Waters,1990,0,-0.248514273,-20,FALSE,9768,tt0099329,Cry-Baby,A prim and proper schoolgirl goes against her mother's wishes when she dates a motorcycle-riding juvenile delinquent.,Good girls want him bad. Bad girls want him worse.,Cry-Baby,"Comedy, Music",en,US,"prison, rock and roll, jealousy, stage, arrest, singer, juvenile delinquent",1990,-0.8399503140250427
217,40000000,Universal Pictures,USA,Robert Zemeckis,Adventure,87727583,Back to the Future Part III,PG,25.05.1990 00:00,Michael J. Fox,Robert Zemeckis,1990,1,1.193189575,120,FALSE,196,tt0099088,Back to the Future Part III,"The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking up Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.",They've saved the best trip for last... But this time they may have gone too far.,Back to the Future Part III,"Adventure, Comedy, Family, Science Fiction",en,US,"railroad robber, california, delorean, indian territory, sports car, inventor, locomotive, saloon, horseback riding, time travel, outlaw, sequel, mad scientist, native american, western, shootout, gunfight, train, wild west, cavalry",1990,0.3741769050279517
218,42000000,Other,USA,Other,Drama,40946358,Rocky V,PG-13,16.11.1990 00:00,Sylvester Stallone,Sylvester Stallone,1990,0,-0.025086714,0,FALSE,1375,tt0100507,Rocky V,"A lifetime of taking shots has ended Rocky's career, and a crooked accountant has left him broke. Inspired by the memory of his trainer, however, Rocky finds glory in training and takes on an up-and-coming boxer.",Go for it!,Rocky V,Drama,en,US,"philadelphia, transporter, father son relationship, cataclysm, trainer, restart, bankrupt, boxer, disappointment, career, boxing match, training, world champion, challenger, street riots, sponsorship, challenge, champion, tax consultant, boxing school, praise, friendship, sport, father figure",1990,0.4579098166867789
219,26000000,Other,USA,Other,Comedy,91457688,Kindergarten Cop,PG-13,21.12.1990 00:00,Arnold Schwarzenegger,Murray Salem,1990,1,2.517603385,250,FALSE,951,tt0099938,Kindergarten Cop,"Hard-edged cop John Kimble gets more than he bargained for when he goes undercover as a kindergarten teacher to get the goods on a brutal drug lord while at the same time protecting the man's young son. Pitted against a class of boisterous moppets whose antics try his patience and test his mettle, Kimble may have met his match … in more ways than one.","Go ahead, you tell him you didn't do your homework.",Kindergarten Cop,Comedy,"en, es",US,"crime fighter, cook, drug dealer, dying and death, kindergarten, kiss, police, teacher, children education",1990,-0.2119534765838387
220,35000000,Other,USA,Other,Action,30669413,Predator 2,R,21.11.1990 00:00,Danny Glover,Jim Thomas,1990,0,-0.123731057,-10,FALSE,169,tt0100403,Predator 2,"Ten years after a band of mercenaries first battled a vicious alien, the invisible creature from another world has returned to Earth -- and this time, it's drawn to the gang-ruled and ravaged city of Los Angeles. When it starts murdering drug dealers, detective-lieutenant Mike Harrigan and his police force set out to capture the creature, ignoring warnings from a mysterious government agent to stay away.",Silent. Invisible. Invincible. He's in town with a few days to kill.,Predator 2,"Science Fiction, Action, Thriller",en,US,"predator, war on drugs, extraterrestrial technology, los angeles, invisible",1990,0.1648446258808837
221,35000000,Other,USA,Other,Action,45681173,RoboCop 2,R,22.06.1990 00:00,Peter Weller,Edward Neumeier,1990,1,0.305176371,30,FALSE,5549,tt0100502,RoboCop 2,"After a successful deployment of the Robocop Law Enforcement unit, OCP sees its goal of urban pacification come closer and closer, but as this develops, a new narcotic known as ""Nuke"" invades the streets led by God-delirious leader Cane. As this menace grows, it may prove to be too much for Murphy to handle. OCP tries to replicate the success of the first unit, but ends up with failed prototypes with suicidal issues... until Dr. Faxx, a scientist straying away from OCP's path, uses Cane as the new subject for the Robocop 2 project, a living God.",He's back to protect the innocent.,RoboCop 2,"Action, Adventure, Crime, Science Fiction, Thriller",en,US,"cyborg, police, sequel, cyberpunk, robot, drug, police officer, robocop",1990,0.1648446258808837
222,14000000,Other,USA,Other,Crime,5080409,Miller's Crossing,R,5.10.1990 00:00,Gabriel Byrne,Joel Coen,1990,0,-0.637113643,-60,FALSE,379,tt0100150,Miller's Crossing,"Set in 1929, a political boss and his advisor have a parting of the ways when they both fall for the same woman.","Up is down, black is white, and nothing is what it seems.",Miller's Crossing,"Drama, Thriller, Crime","gd, it, yi, en",US,"corruption, street gang, prohibition, gun, irish-american, gambling debts, irish mob, violence",1990,-0.7143509465368019
223,40000000,Twentieth Century Fox Film Corporation,USA,Renny Harlin,Action,21413502,The Adventures of Ford Fairlane,R,11.07.1990 00:00,Andrew Dice Clay,Daniel Waters,1990,0,-0.46466245,-50,FALSE,9548,tt0098987,The Adventures of Ford Fairlane,"Ford ""Mr. Rock n' Roll Detective"" Fairlane is experiencing problems, and it's not with the opposite sex. One of them is that all the rock stars pay him with drum sticks, koala bears, food processors and bicycle shorts. Another one of them is that all his employers that want him to find a girl named Zuzu Petals get killed. Why didn't he become a fisherman's detective instead?",Kojak. Columbo. Dirty Harry. Wimps.,The Adventures of Ford Fairlane,"Action, Comedy, Thriller, Crime, Mystery",en,US,"rock and roll, show business, rock star, heavy metal, murder, private detective",1990,0.3741769050279517
224,16000000,Other,USA,Other,Action,33878502,Darkman,R,24.08.1990 00:00,Liam Neeson,Sam Raimi,1990,1,1.117406375,110,FALSE,9556,tt0099365,Darkman,"Dr. Peyton Westlake is on the verge of realizing a major breakthrough in synthetic skin when his laboratory is destroyed by gangsters. Having been burned beyond recognition and forever altered by an experimental medical procedure, Westlake becomes known as Darkman, assuming alternate identities in his quest for revenge and a new life with a former love.","They destroyed everything he had, everything he was. Now, crime has a new enemy and justice has a new face.",Darkman,"Action, Science Fiction, Crime",en,US,"corruption, experiment, burn, mask, gangster boss, los angeles, madness, outsider, disfigurement, conflagration, darkman",1990,-0.6306180348779747
225,50000000,Warner Bros.,USA,Other,Comedy,41482207,Gremlins 2: The New Batch,PG-13,15.06.1990 00:00,Zach Galligan,Chris Columbus,1990,0,-0.17035586,-20,FALSE,928,tt0099700,Gremlins 2: The New Batch,"Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy!",Here they grow again.,Gremlins 2: The New Batch,"Comedy, Horror, Fantasy",en,US,"new york, monster, skyscraper, mutant, restaurant, human animal relationship, mutation, tv station, dying and death, water, research station, fur, bat, current, electric shock, cleverness, gremlin, cowardliness",1990,0.7928414633220877
226,11000000,Other,USA,Other,Action,8862354,Nightbreed,R,16.02.1990 00:00,Craig Sheffer,Clive Barker,1990,0,-0.194331455,-20,FALSE,20481,tt0100260,Nightbreed,A troubled young man is drawn to a mythical place called Midian where a variety of monsters are hiding from humanity.,Come meet the dead of night.,Nightbreed,"Action, Drama, Fantasy, Horror",en,US,"monster, supernatural, escape, serial killer, surprise ending, dark fantasy",1990,-0.8399503140250427
227,31000000,Other,USA,Other,Comedy,35419397,Mermaids,PG-13,14.12.1990 00:00,Cher,Patty Dann,1990,1,0.142561194,10,FALSE,4587,tt0100140,Mermaids,"Fifteen-year-old Charlotte Flax is tired of her wacky mom moving their family to a different town any time she feels it is necessary. When they move to a small Massachusetts town and Mrs. Flax begins dating a shopkeeper, Charlotte and her 9-year-old sister, Kate, hope that they can finally settle down. But when Charlotte's attraction to an older man gets in the way, the family must learn to accept each other for who they truly are.",Mom is many things... normal isn't one of them.,Mermaids,"Comedy, Drama, Romance",en,US,"dress, swimming, kennedy assassination, polka dot, aspiring nun, gynecological exam, jewish girl, shoe salesman, polka dot dress, roman catholic, bell ringing, reference to joan of arc, bell tower, 1960s",1990,-0.0026211974367706943
228,20000000,Other,USA,Other,Action,44143410,Young Guns II,PG-13,1.08.1990 00:00,Emilio Estevez,John Fusco,1990,1,1.2071705,120,FALSE,9086,tt0100994,Young Guns II,"Only three of the original five ""young guns"" -- Billy the Kid (Emilio Estevez), Jose Chavez y Chavez (Lou Diamond Phillips), and Doc Scurlock (Kiefer Sutherland) -- return in Young Guns, Part 2, which is the story of Billy the Kid and his race to safety in Old Mexico while being trailed by a group of government agents led by Pat Garrett","Yoo-Hoo, I'll make ya famous!",Young Guns II,"Western, Adventure",en,US,"male nudity, female nudity, prison, mexico, prostitute, sheriff, mexican standoff, billy the kid, outlaw, sequel, native american, escape, cowboy",1990,-0.46315221156032027
229,5200000,Other,USA,Other,Action,2459895,Class of 1999,R,11.05.1990 00:00,Bradley Gregg,Mark L. Lester,1990,0,-0.526943269,-50,FALSE,23535,tt0099277,Class of 1999,"The time is in the future and the youth gang violence is so high that the areas around some schools have become ""free-fire zones"", into which not even the police will venture. When Miles Langford, the head of Kennedy High School, decides to take his school back from the gangs, robotics specialist Dr. Robert Forrest provides ""tactical education units"". These are amazingly human-like androids that have been programmed to teach and are supplied with devastatingly effective solutions to discipline problems. So when he violent, out-of-control students of Kennedy High report for class tomorrow, they're going to get a real education... in staying alive!",Staying after school can be deadly!,Class of 1999,"Science Fiction, Thriller",en,US,"cyborg, killer robot, future, dystopia, violence in schools, murder, teacher, school, b movie, cyberpunk, los angeles, robot, juvenile delinquent, drug, gang warfare, parolee",1990,-1.0827757578356416
230,12000000,Other,USA,Other,Action,46044400,Marked for Death,R,5.10.1990 00:00,Steven Seagal,Michael Grais,1990,1,2.837033333,280,FALSE,10173,tt0100114,Marked for Death,"Just retired from the Drug Enforcement Agency, John Hatcher (Seagal) returns to his hometown and quickly discovers that drugs have infiltrated his old neighborhood. Determined to drive the dealers out, Hatcher crosses pathes with a ferocious Jamaican druglord who vowes that Hatcher and his family are now marked for death.",He's a good cop. In a bad mood.,Marked for Death,"Action, Thriller",en,US,"voodoo, cop, murder, family",1990,-0.7980838581956291
231,35000000,Other,USA,Other,Action,31053601,Air America,R,10.08.1990 00:00,Mel Gibson,Christopher Robbins,1990,0,-0.112754257,-10,FALSE,11856,tt0099005,Air America,"Air America was the CIA's private airline operating in Laos during the Vietnam War, running anything and everything from soldiers to foodstuffs for local villagers. After losing his pilot's license, Billy Covington is recruited into it, and ends up in the middle of a bunch of lunatic pilots, gun-running by his friend Gene Ryack, and opium smuggling by his own superiors.",The few. The proud. The totally insane.,Air America,"Action, Adventure, Comedy, Drama","en, lo",US,"cia, refugee camp, pilot, drug smuggle, airplane, laos, drug",1990,0.1648446258808837
232,20000000,Other,Other,Other,Action,21413105,Quigley Down Under,PG-13,19.10.1990 00:00,Tom Selleck,John Hill,1990,1,0.07065525,10,FALSE,9588,tt0102744,Quigley Down Under,"American Matt Quigley answers Australian land baron Elliott Marston's ad for a sharpshooter to kill the dingoes on his property. But when Quigley finds out that Marston's real target is the aborigines, Quigley hits the road. Now, even American expatriate Crazy Cora can't keep Quigley safe in his cat-and-mouse game with the homicidal Marston.",There's a price on his head. A girl on his mind. And a twinkle in his eye.,Quigley Down Under,"Romance, Action, Adventure, Western, Drama",en,"AU, US","australian, chase",1990,-0.46315221156032027
233,18000000,Other,USA,Other,Thriller,29381956,Pacific Heights,R,28.09.1990 00:00,Melanie Griffith,Daniel Pyne,1990,1,0.632330889,60,FALSE,2990,tt0100318,Pacific Heights,A couple works hard to renovate their dream house and become landlords to pay for it. Unfortunately one of their tenants has plans of his own.,Where terror lives.,Pacific Heights,"Crime, Thriller",en,US,"san francisco, cheating, staircase, attempted murder, con man, ladder, lodger, suspense, extreme violence, psychopathy, home ownership, vecino",1990,-0.5468851232191475
234,47000000,Warner Bros.,USA,Other,Comedy,15691192,The Bonfire of the Vanities,R,21.12.1990 00:00,Tom Hanks,Michael Cristofer,1990,0,-0.666144851,-70,FALSE,9586,tt0099165,The Bonfire of the Vanities,"After his mistress runs over a young teen, a Wall Street hotshot sees his life unravel in the spotlight, and attracting the interest of a down and out reporter.","Take one Wall Street tycoon, his Fifth Avenue mistress, a reporter hungry for fame, and make the wrong turn in The Bronx...then sit back and watch the sparks fly.",The Bonfire of the Vanities,"Comedy, Drama",en,US,"black people, journalist, success, bad luck, broker",1990,0.6672420958338469
235,25000000,Other,USA,Other,Comedy,6939946,Almost an Angel,PG,19.12.1990 00:00,Paul Hogan,Paul Hogan,1990,0,-0.72240216,-70,FALSE,25943,tt0099018,Almost an Angel,"Terry Dean is an electronics wizard and thief. After he is released from jail, he is hit by a car while saving a little girl's life. While in the hospital, he dreams that God visits him and tells him he's an Angel, and must start doing good things to make up for his past life. Not believing it at first, he soon becomes convinced he must be an Angel. Not having any Angel powers yet, he must use his own experiences and talents to make good things happen.",Who does he think he is?,Almost an Angel,"Fantasy, Comedy, Science Fiction",en,US,angel,1990,-0.2538199324132523
236,1500000,Other,Other,Other,Sci-Fi,5728953,Hardware,R,14.09.1990 00:00,Dylan McDermott,Steve MacManus,1990,1,2.819302,280,FALSE,11309,tt0099740,Hardware,"It was the movie that stunned audiences, shocked the MPAA and marked the debut of one of the most uncompromising filmmakers in modern horror. Golden Globe winner Dylan McDermott (The Practice) stars as a post-apocalyptic scavenger who brings home a battered cyborg skull for his metal-sculptor girlfriend. But this steel scrap contains the brain of the M.A.R.K. 13, the military's most ferocious bio-mechanical combat droid. It is cunning, cruel and can reassemble itself. Tonight, it is reborn....and no flesh shall be spared. Stacey Travis (Ghost World) co-stars - along with appearances by Iggy Pop, Lemmy of Motörhead and music by Ministry and Public Image Ltd.",You can't stop progress.,Hardware,"Horror, Science Fiction, Thriller",en,"GB, US","male nudity, female nudity, killer robot, nudity, artist, post-apocalyptic, dystopia, murder, robot as menace, independent film, gore, disembodied head, blood, cyberpunk, sculpture, violence, apartment, voyeur",1990,-1.2376816444044718
237,23000000,Other,Other,Other,Action,27441977,Memphis Belle,PG-13,12.10.1990 00:00,Matthew Modine,Monte Merrick,1990,1,0.193129435,20,FALSE,12651,tt0100133,Memphis Belle,"The ""Memphis Belle"" is a World War II bomber, piloted by a young crew on dangerous bombing raids into Europe. The crew only have to make one more bombing raid before they have finished their duty and can go home. In the briefing before their last flight, the crew discover that the target for the day is Dresden, a heavily-defended city that invariably causes many Allied casualties",Brave young men who rode on the wings of victory.,Memphis Belle,"Drama, War, Action",en,"JP, GB, US","world war ii, bomber, danger of life, mission, soldier",1990,-0.33755284407207947
238,7000000,Other,USA,Other,Action,4348368,Dark Angel,R,28.09.1990 00:00,Dolph Lundgren,Jonathan Tydor,1990,0,-0.378804571,-40,FALSE,19384,tt0099817,Dark Angel,"Jack Caine is a Houston vice cop who's forgotten the rule book. His self-appointed mission is to stop the drugs trade and the number one supplier Victor Manning. Whilst involved in an undercover operation to entrap Victor Manning, his partner gets killed, and a sinister newcomer enters the scene...","Jack Caine. Houston cop. Human. What he's up against, isn't.",Dark Angel,"Action, Thriller, Science Fiction, Crime, Horror",en,US,"evidence, overdose, heroin, cop, alien, shootout, undercover cop, drug",1990,-1.007416137342697
239,18000000,Other,USA,Other,Action,2742912,Desperate Hours,R,5.10.1990 00:00,Mickey Rourke,Joseph Hayes,1990,0,-0.847616,-80,FALSE,31676,tt0099409,Desperate Hours,A criminal holds a wealthy family hostage.,Desire is the deadliest weapon of all.,Desperate Hours,"Mystery, Thriller",en,US,"suspense, family hostage",1990,-0.5468851232191475
240,38000000,Paramount Pictures,USA,Other,Action,80818974,Another 48 Hrs.,R,8.06.1990 00:00,Eddie Murphy,Roger Spottiswoode,1990,1,1.126815105,110,FALSE,11595,tt0099044,Another 48 Hrs.,"For the past four years, San Francisco cop Jack Cates has been after an unidentified drug kingpin who calls himself the ""Ice Man"". Jack finds a picture that proves that the Ice Man has put a price on the head of Reggie Hammond, who is scheduled to be released from prison on the next day.",The boys are back in town.,Another 48 Hrs.,"Thriller, Action, Comedy, Crime, Drama","cn, en",US,"prison, gas station, drug dealer, investigation, weapon, shootout, motorcycle, convict, tough cop, blast",1990,0.2904439933691245
241,22000000,Columbia Pictures Corporation,USA,Other,Comedy,37963281,Postcards from the Edge,R,14.09.1990 00:00,Meryl Streep,Carrie Fisher,1990,1,0.725603682,70,FALSE,22414,tt0100395,Postcards from the Edge,"Substance-addicted Hollywood actress Suzanne Vale is on the skids. After a spell at a detox centre her film company insists as a condition of continuing to employ her that she live with her mother Doris Mann, herself once a star and now a champion drinker. Such a set-up is bad news for Suzanne who has struggled for years to get out of her mother's shadow, and who finds her mother still treats her like a child. Despite these problems - and further ones to do with the men in in her life - Suzanne can begin to see the funny side of her situation, and it also starts to occur to her that not only do daughters have mothers, mothers do too.","Having a wonderful time, wish I were here.",Postcards from the Edge,"Comedy, Drama",en,US,hollywood,1990,-0.3794192999014931
242,15000000,Other,USA,Other,Comedy,15260154,Quick Change,R,13.07.1990 00:00,Bill Murray,Jay Cronley,1990,1,0.0173436,0,FALSE,10729,tt0100449,Quick Change,"With the aid of his girlfriend, Phyllis Potter, and best friend, Loomis, Grimm enters a Manhattan bank dressed as a clown, creates a hostage situation and executes a flawless robbery. The only thing left for the trio to do is make their getaway out of the city and to the airport. It sounds simple enough, but it seems that fate deserts them immediately after the bank heist. One mishap after another conspires to keep these robbers from reaching freedom.",The bank robbery was easy. But getting out of New York was a nightmare.,Quick Change,"Comedy, Crime",en,US,"new york city, bank robbery, jousting, getaway, crime gone awry, bumbler, hostage negotiator, clown makeup",1990,-0.6724844907073882
243,19000000,Other,USA,Other,Crime,10005969,The Two Jakes,R,10.08.1990 00:00,Jack Nicholson,Robert Towne,1990,0,-0.473370053,-50,FALSE,32669,tt0100828,The Two Jakes,"This sequel to the classic Chinatown finds private detective Jake Gittes still haunted from the events of the first film. Hired by a man to investigate his wife's infidelities, Jake once again finds himself involved in a complicated plot involving murder, oil, and even some ghosts from his past.",They say money makes the world go round. But sex was invented before money.,The Two Jakes,"Crime, Drama, Mystery",en,US,"los angeles, private detective",1990,-0.5050186673897339
