,budget,company,country,director,genre,gross,name,released,runtime,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,id,imdb_id,original_title,popularity,tagline,title,genres_edited,production_countries_edited,year_released
1064,8000000,Other,USA,Other,Action,8109349,Turbo: A Power Rangers Movie,28.03.1997 00:00,99,7129,Shuki Levy,1997,1,0.013668625,0,6499,tt0120389,Turbo: A Power Rangers Movie,5.436745,The Power Is Back!,Turbo: A Power Rangers Movie,"Action, Adventure, Family, Fantasy, Science Fiction, Thriller","JP, US",1997
1065,50000000,Warner Bros.,USA,Other,Crime,10556196,Mad City,7.11.1997 00:00,100,17297,Tom Matthews,1997,0,-0.78887608,-80,9770,tt0119592,Mad City,4.909738,One man will make a mistake. The other will make it a spectacle.,Mad City,"Action, Drama, Thriller",US,1997
1066,3300000,Other,Other,Other,Comedy,74188,Twin Town,9.05.1997 00:00,99,4995,Kevin Allen,1997,0,-0.977518788,-100,15321,tt0120394,Twin Town,1.651546,,Twin Town,"Comedy, Drama",GB,1997
1067,9000000,Miramax,Other,Other,Drama,339648,Welcome to Sarajevo,26.11.1997 00:00,103,6194,Michael Nicholson,1997,0,-0.962261333,-100,14905,tt0120490,Welcome to Sarajevo,7.999793,"To get the story, they’ll risk everything.",Welcome to Sarajevo,"War, Drama, History","GB, US",1997
1068,17000000,Other,USA,Other,Comedy,3506206,The Pest,7.02.1997 00:00,84,7038,David Bar Katz,1997,0,-0.793752588,-80,17949,tt0119887,The Pest,3.194883,What kind of freakazoid would let someone hunt him just for $50.000… Next question.,The Pest,"Action, Comedy",US,1997
1069,35000000,Other,Other,Other,Action,2221994,Smilla's Sense of Snow,28.02.1997 00:00,121,12197,Peter Høeg,1997,0,-0.936514457,-90,9311,tt0120152,Smilla's Sense of Snow,3.132331,Some Tracks Should Never Be Uncovered.,Smilla's Sense of Snow,"Action, Crime, Drama, Mystery, Thriller","DE, DK, SE",1997
1070,5000000,Other,USA,Other,Drama,20733485,The Apostle,20.02.1998 00:00,134,12029,Robert Duvall,1997,1,3.146697,310,2895,tt0118632,The Apostle,9.21174,The hardest soul to save was his own.,The Apostle,Drama,US,1998
1071,24000000,New Line Cinema,USA,Other,Drama,2618335,One Night Stand,14.11.1997 00:00,102,5888,Mike Figgis,1997,0,-0.890902708,-90,12616,tt0119832,One Night Stand,2.818802,Sometimes an entire life can change in just one night.,One Night Stand,Drama,US,1997
1072,85000000,Other,USA,Other,Comedy,28659604,Fathers' Day,9.05.1997 00:00,98,12880,Francis Veber,1997,0,-0.662828188,-70,12499,tt0119109,Fathers' Day,5.295556,,Fathers' Day,"Comedy, Family",US,1997
1073,35000000,Universal Pictures,USA,Other,Comedy,31611225,For Richer or Poorer,12.12.1997 00:00,115,8578,Jana Howington,1997,0,-0.096822143,-10,10371,tt0119142,For Richer or Poorer,8.412203,,For Richer or Poorer,Comedy,US,1997
1074,1500000,Other,USA,Other,Comedy,617403,The House of Yes,10.10.1997 00:00,85,6947,Wendy MacLeod,1997,0,-0.588398,-60,33344,tt0119324,The House of Yes,3.974374,,The House of Yes,"Comedy, Drama",,1997
1075,3000000,Other,USA,Other,Comedy,3559990,8 Heads in a Duffel Bag,18.04.1997 00:00,95,8398,Tom Schulman,1997,1,0.186663333,20,13982,tt0118541,8 Heads in a Duffel Bag,5.666701,A mindless comedy.,8 Heads in a Duffel Bag,"Comedy, Crime","GB, US",1997
1076,10000000,Other,USA,Other,Drama,10200000,The Spanish Prisoner,15.05.1998 00:00,110,19466,David Mamet,1997,1,0.02,0,29193,tt0120176,The Spanish Prisoner,4.305735,It's the oldest con in the book.,The Spanish Prisoner,"Crime, Drama, Mystery, Thriller",US,1998
1077,53000000,Other,USA,Other,Comedy,19736932,Gone Fishin',30.05.1997 00:00,94,8375,Jill Mazursky,1997,0,-0.627605057,-60,9054,tt0119214,Gone Fishin',2.289647,Even the fish are laughing!,Gone Fishin',"Comedy, Family",US,1997
1078,8000000,Other,USA,Other,Crime,1495332,City of Industry,14.03.1997 00:00,97,5078,Ken Solarz,1997,0,-0.8130835,-80,18420,tt0118859,City of Industry,1.922014,Wanting a man dead can be reason enough to live.,City of Industry,"Crime, Thriller, Drama",US,1997
1079,15000000,Other,USA,Other,Comedy,309,Trojan War,1.10.1997 00:00,84,5034,Andy Burg,1997,0,-0.9999794,-100,14330,tt0120376,Trojan War,1.156854,She has 24 hours to convince the guy of her dreams that she's the girl of his.,Trojan War,Comedy,US,1997
1080,31190000,Other,USA,Other,Action,4529843,McHale's Navy,18.04.1997 00:00,108,5716,Peter Crabbe,1997,0,-0.854766175,-90,14908,tt0119640,McHale's Navy,2.705804,He's Under Siege and Out-of-Control.,McHale's Navy,"Action, Comedy, Romance",US,1997
1081,10000000,Other,USA,Other,Drama,12514138,Love Jones,14.03.1997 00:00,104,3076,Theodore Witcher,1997,1,0.2514138,30,27322,tt0119572,Love Jones,1.251862,Get Together. Fall Apart. Start Over.,Love Jones,"Comedy, Drama, Romance",US,1997
1082,25000,Other,Other,Other,Comedy,2856622,In the Company of Men,1.08.1997 00:00,97,11992,Neil LaBute,1997,1,113.26488,11330,14585,tt0119361,In the Company of Men,3.323672,Are all men bastards...or just misunderstood?,In the Company of Men,"Comedy, Drama","CA, US",1997
1083,12000000,Other,USA,Other,Adventure,7015240,Star Kid,16.01.1998 00:00,101,2065,Manny Coto,1997,0,-0.415396667,-40,54007,tt0120478,Star Kid,1.079117,"You know what they say, if the cyborsuit fits, go kick some alien butt!",Star Kid,"Action, Adventure, Family, Science Fiction",US,1998
1084,16000000,Other,USA,Other,Comedy,11486880,The Beautician and the Beast,7.02.1997 00:00,105,7153,Todd Graff,1997,0,-0.28207,-30,17894,tt0118691,The Beautician and the Beast,7.566377,Once upon a time...,The Beautician and the Beast,"Comedy, Romance",US,1997
1085,7000000,Other,Other,Other,Drama,106292,Lawn Dogs,15.05.1998 00:00,101,6638,Naomi Wallace,1997,0,-0.984815429,-100,35796,tt0119506,Lawn Dogs,4.255263,Innocence is a dangerous friend.,Lawn Dogs,Drama,GB,1998
1086,18000000,Paramount Pictures,USA,Other,Comedy,3247524,A Smile Like Yours,22.08.1997 00:00,98,1230,Kevin Meyer,1997,0,-0.819582,-80,33657,tt0120151,A Smile Like Yours,2.507368,The shortest distance between two people is a certain smile.,A Smile Like Yours,"Comedy, Romance",US,1997
1087,16000000,Other,Other,Bruce Beresford,Drama,1921471,Paradise Road,11.04.1997 00:00,122,4496,David Giles,1997,0,-0.879908063,-90,77223,tt0119859,Paradise Road,1.462139,,Paradise Road,"War, Drama, History","AU, US",1997
1088,2700000,Other,USA,Other,Drama,9054736,Ulee's Gold,18.07.1997 00:00,113,5988,Victor Nunez,1997,1,2.353605926,240,55306,tt0120402,Ulee's Gold,1.138972,,Ulee's Gold,Drama,US,1997
1089,45000000,Other,USA,Other,Action,2154540,Shadow Conspiracy,31.01.1997 00:00,103,3969,Adi Hasak,1997,0,-0.952121333,-100,38153,tt0120107,Shadow Conspiracy,3.733574,,Shadow Conspiracy,"Action, Thriller",US,1997
1090,71000000,Metro-Goldwyn-Mayer (MGM),USA,Other,Action,11466088,Turbulence,10.01.1997 00:00,100,9453,Jonathan Brett,1997,0,-0.838505803,-80,34314,tt0120390,Turbulence,5.304043,"If you weren't afraid of flying before, you will be now.",Turbulence,"Action, Thriller, Crime",US,1997
1091,25000000,Other,USA,Other,Action,6320276,Most Wanted,10.10.1997 00:00,99,5089,Keenen Ivory Wayans,1997,0,-0.74718896,-70,34309,tt0119709,Most Wanted,10.323838,Sometimes the most patriotic thing a Marine can do...is disobey orders. From most honored to Most Wanted.,Most Wanted,"Action, Thriller",US,1997
1092,3000000,Other,Other,Other,Comedy,302204,Shooting Fish,1.05.1998 00:00,109,6880,Stefan Schwartz,1997,0,-0.899265333,-90,25719,tt0120122,Shooting Fish,1.631288,Fat cats are too easy. Go for the big fish.,Shooting Fish,"Crime, Comedy, Romance",GB,1998
1093,5000000,Other,Other,Other,Drama,283033,The End of Violence,12.09.1997 00:00,122,4321,Nicholas Klein,1997,0,-0.9433934,-90,46625,tt0119062,The End of Violence,1.621193,Nothing Lasts Forever,The End of Violence,"Drama, Thriller","FR, DE, US",1997
1094,4000000,Other,USA,Other,Biography,46362,The Last Time I Committed Suicide,20.06.1997 00:00,92,1776,Neal Cassady,1997,0,-0.9884095,-100,34941,tt0119502,The Last Time I Committed Suicide,1.380375,Life is what happens when you're busy making plans,The Last Time I Committed Suicide,Drama,US,1997
1095,70000000,DreamWorks,USA,Steven Spielberg,Drama,216540909,Saving Private Ryan,24.07.1998 00:00,169,979007,Robert Rodat,1998,1,2.093441557,210,857,tt0120815,Saving Private Ryan,21.758054,The mission is a man.,Saving Private Ryan,"Drama, History, War",US,1998
1096,15000000,Other,USA,Other,Comedy,17451873,The Big Lebowski,6.03.1998 00:00,117,592823,Ethan Coen,1998,1,0.1634582,20,115,tt0118715,The Big Lebowski,15.952524,Times like these call for a Big Lebowski.,The Big Lebowski,"Comedy, Crime","GB, US",1998
1097,7500000,New Line Cinema,USA,Other,Crime,6719864,American History X,20.11.1998 00:00,119,857333,David McKenna,1998,0,-0.104018133,-10,73,tt0120586,American History X,18.157166,Some Legacies Must End.,American History X,Drama,US,1998
1098,90000000,Other,USA,Other,Animation,120620254,Mulan,19.06.1998 00:00,88,193214,Robert D. San Souci,1998,1,0.340225044,30,10674,tt0120762,Mulan,21.180857,"This time, the princess saves the prince.",Mulan,"Animation, Family, Adventure",US,1998
1099,60000000,Paramount Pictures,USA,Other,Comedy,125618201,The Truman Show,5.06.1998 00:00,103,740961,Andrew Niccol,1998,1,1.093636683,110,37165,tt0120382,The Truman Show,13.155901,On the air. Unaware.,The Truman Show,"Comedy, Drama",US,1998
1100,60000,Other,USA,Other,Drama,3216970,Pi,10.07.1998 00:00,84,151309,Darren Aronofsky,1998,1,52.61616667,5260,473,tt0138704,Pi,10.621362,"There will be no order, only chaos",Pi,"Mystery, Drama, Thriller",US,1998
1101,23000000,Twentieth Century Fox Film Corporation,USA,Other,Comedy,176484651,There's Something About Mary,15.07.1998 00:00,119,259794,Ed Decter,1998,1,6.673245696,670,544,tt0129387,There's Something About Mary,11.688958,Love Is In The Hair.,There's Something About Mary,"Romance, Comedy",US,1998
1102,45000000,Other,USA,Other,Action,70087718,Blade,21.08.1998 00:00,120,206719,David S. Goyer,1998,1,0.557504844,60,36647,tt0120611,Blade,15.043454,Part Man. Part Vampire. All Hero.,Blade,"Horror, Action",US,1998
1103,25000000,Other,USA,Other,Comedy,32383850,Bride of Chucky,16.10.1998 00:00,89,42757,Don Mancini,1998,1,0.295354,30,11932,tt0144120,Bride of Chucky,13.018491,Chucky Gets Lucky.,Bride of Chucky,"Horror, Comedy","CA, US",1998
1104,90000000,Universal Pictures,USA,Other,Drama,44619100,Meet Joe Black,13.11.1998 00:00,178,180700,Ron Osborn,1998,0,-0.504232222,-50,297,tt0119643,Meet Joe Black,14.026744,Sooner or later everyone does.,Meet Joe Black,"Fantasy, Drama, Mystery",US,1998
1105,48000000,Other,USA,Other,Comedy,46683377,Practical Magic,16.10.1998 00:00,104,60149,Alice Hoffman,1998,0,-0.027429646,0,6435,tt0120791,Practical Magic,7.757795,"For two sisters from a family of witches, falling in love is the trickiest spell of all.",Practical Magic,"Drama, Fantasy, Comedy",US,1998
1106,60000000,Universal Pictures,USA,Other,Action,32940507,Mercury Rising,3.04.1998 00:00,111,57649,Ryne Douglas Pearson,1998,0,-0.45099155,-50,8838,tt0120749,Mercury Rising,6.644644,Someone knows too much.,Mercury Rising,"Action, Crime, Drama, Thriller",US,1998
1107,52000000,Fox 2000 Pictures,USA,Other,Drama,36400491,The Thin Red Line,15.01.1999 00:00,170,148812,James Jones,1998,0,-0.299990558,-30,8741,tt0120863,The Thin Red Line,9.783966,Every man fights his own war.,The Thin Red Line,"Drama, History, War","CA, US",1999
1108,20000000,Other,USA,Other,Crime,29753944,Wild Things,20.03.1998 00:00,108,95388,Stephen Peters,1998,1,0.4876972,50,617,tt0120890,Wild Things,13.924623,They're dying to play with you.,Wild Things,Thriller,US,1998
1109,55000000,Other,Other,Other,Action,41616262,Ronin,25.09.1998 00:00,122,152869,J.D. Zeik,1998,0,-0.243340691,-20,8195,tt0122690,Ronin,9.672094,Your ally could become your enemy.,Ronin,"Action, Thriller, Crime, Adventure","FR, GB, US",1998
1110,18500000,Other,USA,Other,Adventure,10680275,Fear and Loathing in Las Vegas,22.05.1998 00:00,118,226427,Hunter S. Thompson,1998,0,-0.422687838,-40,1878,tt0120669,Fear and Loathing in Las Vegas,9.220346,"Buy the ticket, take the ride.",Fear and Loathing in Las Vegas,"Adventure, Drama, Comedy",US,1998
1111,25000000,Universal Pictures,USA,Other,Comedy,100317794,Shakespeare in Love,8.01.1999 00:00,123,187035,Marc Norman,1998,1,3.01271176,300,1934,tt0138097,Shakespeare in Love,13.813155,Love is the only inspiration.,Shakespeare in Love,"Romance, History",US,1999
1112,33000000,New Line Cinema,USA,Other,Action,141153686,Rush Hour,18.09.1998 00:00,98,201905,Ross LaManna,1998,1,3.277384424,330,2109,tt0120812,Rush Hour,11.840557,The Fastest Hands in the East Meet the Biggest Mouth in the West.,Rush Hour,"Action, Comedy, Crime, Thriller",US,1998
1113,65000000,Warner Bros.,USA,Other,Comedy,115821495,You've Got Mail,18.12.1998 00:00,119,163612,Miklós László,1998,1,0.781869154,80,9489,tt0128853,You've Got Mail,10.237996,Someone you pass on the street may already be the love of your life.,You've Got Mail,"Comedy, Romance",US,1998
1114,20000000,Other,USA,Other,Comedy,161491646,The Waterboy,6.11.1998 00:00,90,127466,Tim Herlihy,1998,1,7.0745823,710,10663,tt0120484,The Waterboy,9.461823,You can mess with him. But don't mess with his water.,The Waterboy,Comedy,US,1998
1115,75000000,Paramount Pictures,USA,Other,Action,140464664,Deep Impact,8.05.1998 00:00,120,142094,Bruce Joel Rubin,1998,1,0.872862187,90,8656,tt0120647,Deep Impact,11.644633,Heaven and Earth are about to collide.,Deep Impact,"Action, Drama, Romance",US,1998
1116,80000000,New Line Cinema,USA,Other,Action,69117629,Lost in Space,3.04.1998 00:00,130,61386,Irwin Allen,1998,0,-0.136029638,-10,2157,tt0120738,Lost in Space,12.000579,"Danger, Will Robinson!",Lost in Space,"Adventure, Family, Science Fiction",US,1998
1117,120000000,Other,USA,Other,Animation,162798565,A Bug's Life,25.11.1998 00:00,95,226736,John Lasseter,1998,1,0.356654708,40,9487,tt0120623,A Bug's Life,16.869209,An epic presentation of miniature proportions.,A Bug's Life,"Adventure, Animation, Comedy, Family",US,1998
1118,9000000,Other,USA,Other,Comedy,17105219,Rushmore,19.02.1999 00:00,93,144975,Wes Anderson,1998,1,0.900579889,90,11545,tt0128445,Rushmore,5.997054,Love. Expulsion. Revolution.,Rushmore,"Comedy, Drama",US,1999
1119,70000000,Other,USA,Other,Animation,101217900,The Prince of Egypt,18.12.1998 00:00,99,98359,Philip LaZebnik,1998,1,0.44597,40,9837,tt0120794,The Prince of Egypt,11.898185,The Power Is Real.,The Prince of Egypt,"Adventure, Animation, Drama, Family, Music",US,1998
1120,15000000,Dimension Films,USA,Other,Horror,40064955,The Faculty,25.12.1998 00:00,104,96886,David Wechter,1998,1,1.670997,170,9276,tt0133751,The Faculty,13.462253,Take me to your teacher.,The Faculty,"Horror, Mystery, Science Fiction",US,1998
1121,90000000,Touchstone Pictures,USA,Other,Action,111549836,Enemy of the State,20.11.1998 00:00,132,199848,David Marconi,1998,1,0.239442622,20,9798,tt0120660,Enemy of the State,12.978751,It's not paranoia if they're really after you.,Enemy of the State,"Action, Drama, Thriller",US,1998
1122,85000000,Other,USA,Other,Drama,55485043,What Dreams May Come,2.10.1998 00:00,113,88728,Richard Matheson,1998,0,-0.347234788,-30,12159,tt0120889,What Dreams May Come,11.218378,After life there is more. The end is just the beginning.,What Dreams May Come,"Drama, Fantasy, Romance","NZ, US",1998
1123,48000000,Universal Pictures,USA,Steven Soderbergh,Crime,37562568,Out of Sight,26.06.1998 00:00,123,75099,Elmore Leonard,1998,0,-0.2174465,-20,1389,tt0120780,Out of Sight,7.349812,Opposites attract.,Out of Sight,"Romance, Comedy, Crime",US,1998
1124,65000000,TriStar Pictures,USA,Other,Action,94095523,The Mask of Zorro,17.07.1998 00:00,136,144796,Johnston McCulley,1998,1,0.447623431,40,9342,tt0120746,The Mask of Zorro,11.348096,No one has seen his face... but everyone ... knows this mark.,The Mask of Zorro,"Action, Adventure",US,1998
1125,18000000,Other,USA,Other,Comedy,80245725,The Wedding Singer,13.02.1998 00:00,95,116558,Tim Herlihy,1998,1,3.458095833,350,11003,tt0120888,The Wedding Singer,8.884035,He's gonna party like it's 1985.,The Wedding Singer,"Romance, Comedy",US,1998
1126,70000000,Other,USA,Other,Action,74329966,Six Days Seven Nights,12.06.1998 00:00,98,64070,Michael Browning,1998,1,0.061856657,10,6068,tt0120828,Six Days Seven Nights,18.324219,"After this week in paradise, they’re going to need a vacation.",Six Days Seven Nights,"Action, Adventure, Comedy, Romance",US,1998
1127,40000000,New Line Cinema,USA,Other,Comedy,40568025,Pleasantville,23.10.1998 00:00,124,108475,Gary Ross,1998,1,0.014200625,0,2657,tt0120789,Pleasantville,11.0874,Nothing is as simple as black and white.,Pleasantville,"Fantasy, Drama, Comedy",US,1998
1128,30000000,Twentieth Century Fox Film Corporation,USA,Other,Drama,60053195,Hope Floats,29.05.1998 00:00,114,20726,Steven Rogers,1998,1,1.001773167,100,9715,tt0119313,Hope Floats,6.54478,"When life fell apart, love fell into place.",Hope Floats,"Drama, Romance",US,1998
1129,40000000,Universal Pictures,USA,Other,Action,54682547,Small Soldiers,10.07.1998 00:00,108,81216,Gavin Scott,1998,1,0.367063675,40,11551,tt0122718,Small Soldiers,10.03936,"The few, the proud, and the small.",Small Soldiers,"Comedy, Adventure, Fantasy, Science Fiction, Action",US,1998
1130,12000000,Miramax,USA,Other,Crime,22905674,Rounders,11.09.1998 00:00,121,128159,David Levien,1998,1,0.908806167,90,10220,tt0128442,Rounders,8.783454,Trust everyone... But always cut the cards.,Rounders,"Drama, Crime",US,1998
1131,10000000,Columbia Pictures Corporation,USA,Other,Comedy,25339117,Can't Hardly Wait,12.06.1998 00:00,100,39581,Deborah Kaplan,1998,1,1.5339117,150,15037,tt0127723,Can't Hardly Wait,6.426937,Yesterday's history.  Tomorrow's the future.  Tonight's the party.,Can't Hardly Wait,"Comedy, Drama, Romance",US,1998
1132,60000000,Warner Bros.,USA,Other,Action,57167405,U.S. Marshals,6.03.1998 00:00,131,82606,Roy Huggins,1998,0,-0.047209917,0,11808,tt0120873,U.S. Marshals,8.462364,The cop who won't stop is back. But this time he's chasing down a lot more than a fugitive.,U.S. Marshals,"Thriller, Crime, Action",US,1998
1133,6000,Other,Other,Other,Crime,48482,Following,5.11.1999 00:00,69,72113,Christopher Nolan,1998,1,7.080333333,710,11660,tt0154506,Following,5.283661,,Following,"Crime, Drama, Thriller",GB,1999
1134,30000000,Other,Other,Other,Biography,30082699,Elizabeth,19.02.1999 00:00,124,80195,Michael Hirst,1998,1,0.002756633,0,4518,tt0127536,Elizabeth,7.566321,Declared illegitimate aged 3. Tried for treason aged 21. Crowned Queen aged 25.,Elizabeth,"Drama, History",US,1999
1135,8000000,Other,USA,Other,Comedy,17278980,Half Baked,16.01.1998 00:00,82,50868,Dave Chappelle,1998,1,1.1598725,120,9490,tt0120693,Half Baked,7.022548,They'll do anything to save their best bud.,Half Baked,"Comedy, Crime",US,1998
1136,14000000,Other,USA,Other,Horror,38072438,Urban Legend,25.09.1998 00:00,99,50594,Silvio Horta,1998,1,1.719459857,170,9877,tt0146336,Urban Legend,6.081401,It Happened To Someone Who Knows Someone You Know... You're Next.,Urban Legend,"Horror, Thriller","CA, FR, US",1998
1137,58000000,Paramount Pictures,USA,Other,Action,70117571,Star Trek: Insurrection,11.12.1998 00:00,103,60249,Gene Roddenberry,1998,1,0.208923638,20,200,tt0120844,Star Trek: Insurrection,9.538877,The battle for paradise has begun.,Star Trek: Insurrection,"Science Fiction, Action, Adventure, Thriller",US,1998
1138,28000000,Universal Pictures,USA,Other,Action,13979599,Blues Brothers 2000,6.02.1998 00:00,123,27480,Dan Aykroyd,1998,0,-0.500728607,-50,11568,tt0118747,Blues Brothers 2000,13.162168,,Blues Brothers 2000,"Music, Action, Comedy, Crime",US,1998
1139,17000000,Other,USA,Other,Comedy,30324946,A Night at the Roxbury,2.10.1998 00:00,82,50769,Steve Koren,1998,1,0.783820353,80,9429,tt0120770,A Night at the Roxbury,12.480685,Score!,A Night at the Roxbury,Comedy,US,1998
1140,50000000,TriStar Pictures,USA,Other,Comedy,91137662,Stepmom,25.12.1998 00:00,124,50401,Gigi Levangie,1998,1,0.82275324,80,9441,tt0120686,Stepmom,7.17892,Be there for the joy. Be there for the tears. Be there for each other.,Stepmom,"Drama, Romance",US,1998
1141,140000000,Warner Bros.,USA,Richard Donner,Action,130444603,Lethal Weapon 4,10.07.1998 00:00,127,135019,Shane Black,1998,0,-0.068252836,-10,944,tt0122151,Lethal Weapon 4,14.470551,The faces you love. The action you expect.,Lethal Weapon 4,"Action, Adventure, Comedy, Crime, Thriller",US,1998
1142,90000000,Universal Pictures,USA,Other,Biography,135026902,Patch Adams,25.12.1998 00:00,115,86765,Patch Adams,1998,1,0.500298911,50,10312,tt0129290,Patch Adams,12.52181,Laughter is contagious,Patch Adams,"Comedy, Drama",US,1998
1143,105000000,DreamWorks,USA,Other,Animation,90757863,Antz,2.10.1998 00:00,83,131396,Todd Alcott,1998,0,-0.1356394,-10,8916,tt0120587,Antz,16.025625,Every ant has his day.,Antz,"Adventure, Animation, Comedy, Family",US,1998
1144,73000000,Paramount Pictures,USA,Other,Crime,55585389,Snake Eyes,7.08.1998 00:00,98,67384,Brian De Palma,1998,0,-0.238556315,-20,8688,tt0120832,Snake Eyes,11.604533,Believe everything except your eyes.,Snake Eyes,"Crime, Mystery","CA, US",1998
1145,24000000,Columbia Pictures,USA,Other,Horror,40002112,I Still Know What You Did Last Summer,13.11.1998 00:00,100,58906,Lois Duncan,1998,1,0.666754667,70,3600,tt0130018,I Still Know What You Did Last Summer,11.023042,Someone is dying for a second chance.,I Still Know What You Did Last Summer,"Horror, Mystery, Thriller",US,1998
1146,66000000,Twentieth Century Fox Film Corporation,USA,Other,Drama,83898313,The X Files,19.06.1998 00:00,121,90546,Chris Carter,1998,1,0.271186561,30,846,tt0120902,The X Files,12.311615,Fight the Future,The X Files,"Mystery, Science Fiction, Thriller","CA, US",1998
1147,14000000,Other,USA,Other,Crime,8838938,Apt Pupil,23.10.1998 00:00,111,30742,Stephen King,1998,0,-0.368647286,-40,9445,tt0118636,Apt Pupil,15.352714,"If you don't believe in the existence of evil, you've got a lot to learn.",Apt Pupil,"Drama, Thriller","FR, US",1998
1148,13000000,Other,USA,Other,Drama,16574731,54,28.08.1998 00:00,93,28791,Mark Christopher,1998,1,0.274979308,30,3682,tt0120577,54,8.736869,You've never been anywhere until you've been here,54,"Music, Drama",US,1998
1149,1500000,Other,USA,Other,Comedy,2375097,Buffalo '66,26.06.1998 00:00,110,39256,Vincent Gallo,1998,1,0.583398,60,9464,tt0118789,Buffalo '66,9.167761,Billy Brown just got out of jail. Now he's going to serve some real time. He's going home.,Buffalo '66,"Romance, Comedy, Crime, Drama",US,1998
1150,60000000,Warner Bros.,USA,Other,Crime,67638368,A Perfect Murder,5.06.1998 00:00,107,68263,Frederick Knott,1998,1,0.127306133,10,1965,tt0120787,A Perfect Murder,9.430812,A powerful husband. An unfaithful wife. A jealous lover. All of them have a motive. Each of them has a plan.,A Perfect Murder,"Crime, Thriller, Drama",US,1998
1151,9000000,Other,Other,Other,Comedy,11883495,Sliding Doors,1.05.1998 00:00,99,55546,Peter Howitt,1998,1,0.320388333,30,10215,tt0120148,Sliding Doors,9.7866,What if one split second sent your life in two completely different directions?.,Sliding Doors,"Comedy, Drama, Fantasy, Romance","GB, US",1998
1152,80000000,Warner Bros.,USA,Barry Levinson,Drama,37020277,Sphere,13.02.1998 00:00,134,87413,Michael Crichton,1998,0,-0.537246538,-50,10153,tt0120184,Sphere,7.124735,"A thousand feet beneath the sea, the blackest holes are in the mind...",Sphere,Science Fiction,US,1998
1153,70000000,Twentieth Century Fox Film Corporation,USA,Other,Action,40981289,The Siege,6.11.1998 00:00,116,61043,Lawrence Wright,1998,0,-0.414553014,-40,9882,tt0133952,The Siege,9.019114,On November 6th our freedom is history,The Siege,"Drama, Action, Thriller, Crime",US,1998
1154,10000000,Other,Other,Other,Drama,9473382,The Red Violin,11.06.1999 00:00,130,28172,Don McKellar,1998,0,-0.0526618,-10,14283,tt0120802,The Red Violin,7.725843,,The Red Violin,"Drama, Thriller, Mystery, Music, Romance","CA, IT, GB",1999
1155,60000000,Touchstone Pictures,USA,Other,Drama,75383563,The Horse Whisperer,15.05.1998 00:00,170,34250,Nick Evans,1998,1,0.256392717,30,547,tt0119314,The Horse Whisperer,7.685548,,The Horse Whisperer,"Drama, Romance",US,1998
1156,8000000,Other,USA,Other,Biography,4530929,Dangerous Beauty,20.02.1998 00:00,111,13477,Margaret Rosenthal,1998,0,-0.433633875,-40,8583,tt0118892,Dangerous Beauty,4.79927,Born without privilege. Bound by tradition. She found the courage to follow her heart.,Dangerous Beauty,"Drama, Romance",US,1998
1157,30000000,Columbia Pictures Corporation,USA,Other,Action,18967571,The Replacement Killers,6.02.1998 00:00,87,24291,Ken Sanzel,1998,0,-0.367747633,-40,11702,tt0120008,The Replacement Killers,9.384887,Kill or be replaced.,The Replacement Killers,"Action, Drama, Crime, Thriller",US,1998
1158,24000000,Paramount Pictures,USA,Other,Animation,100494675,The Rugrats Movie,20.11.1998 00:00,79,15183,David N. Weiss,1998,1,3.187278125,320,14444,tt0134067,The Rugrats Movie,5.154373,,The Rugrats Movie,"Animation, Family",US,1998
1159,30000000,Twentieth Century Fox Film Corporation,USA,Other,Comedy,26525834,Bulworth,22.05.1998 00:00,108,22893,Warren Beatty,1998,0,-0.115805533,-10,9452,tt0118798,Bulworth,3.385342,Brace yourself. This politician is about to tell the truth!,Bulworth,"Comedy, Drama",US,1998
1160,10000000,Other,USA,Other,Comedy,9801782,Very Bad Things,25.11.1998 00:00,100,41062,Peter Berg,1998,0,-0.0198218,0,10029,tt0124198,Very Bad Things,10.432293,They've been bad. Very bad.,Very Bad Things,"Comedy, Crime, Thriller",US,1998
1161,4500000,New Line Cinema,USA,Other,Comedy,23031390,The Players Club,8.04.1998 00:00,104,4688,Ice Cube,1998,1,4.118086667,409,19848,tt0119905,The Players Club,5.519679,"Here, we get down and dirty.",The Players Club,Drama,US,1998
1162,25000000,Touchstone Pictures,USA,Spike Lee,Drama,21554585,He Got Game,1.05.1998 00:00,136,38487,Spike Lee,1998,0,-0.1378166,-10,9469,tt0124718,He Got Game,13.06943,"The father, the son and the holy game.",He Got Game,Drama,US,1998
1163,13000000,Metro-Goldwyn-Mayer (MGM),Other,Other,Comedy,9975684,Dirty Work,12.06.1998 00:00,82,20926,Frank Sebastiano,1998,0,-0.232639692,-20,14577,tt0120654,Dirty Work,7.061315,Revenge is a dish best served DIRTY.,Dirty Work,Comedy,"CA, US",1998
1164,45000000,Other,USA,Other,Action,11203026,Deep Rising,30.01.1998 00:00,106,28083,Stephen Sommers,1998,0,-0.751043867,-80,9457,tt0118956,Deep Rising,6.922458,Full Scream Ahead,Deep Rising,"Adventure, Action, Horror, Science Fiction","CA, US",1998
1165,17000000,Other,Other,Other,Crime,16311763,A Simple Plan,22.01.1999 00:00,121,54106,Scott B. Smith,1998,0,-0.040484529,0,10223,tt0120324,A Simple Plan,5.765416,Sometimes good people do evil things.,A Simple Plan,"Drama, Crime, Thriller",US,1999
